skill,aliases,category,domains
python,"python;питон;py",language,"backend;data;ml;automation"
fastapi,"fastapi;фастапи",framework,"backend;api"
flask,"flask;фласк",framework,"backend;api"
typer,"typer;тайпер",framework,"automation;backend"
pydantic,"pydantic;пайдентик;пидантик",library,"backend;api;data"
pandas,"pandas;пандас",library,"data;analytics"
numpy,"numpy;нампай",library,"data;ml"
scikit_learn,"scikit-learn;sklearn;scikit learn;скайкит лерн",library,"ml;data"
pytorch,"pytorch;torch;пайторч;торч",framework,"ml;data"
transformers,"transformers;hf transformers;трансформерс",library,"ml;llm;nlp"
huggingface,"hugging face;huggingface;hf;хаггингфейс",platform,"ml;llm;nlp"
xgboost,"xgboost;иксджибуст",library,"ml;data"
lightgbm,"lightgbm;лайтгбм;light gbm",library,"ml;data"
matplotlib,"matplotlib;mpl;матплотлиб",library,"analytics;data"
seaborn,"seaborn;sea born;сиборн",library,"analytics;data"
plotly,"plotly;плотли",library,"analytics;data"
streamlit,"streamlit;стримлит",framework,"analytics;data;ml"
gradio,"gradio;грейдио;градио",framework,"ml;llm;automation"
jupyter,"jupyter;jupyterlab;jupyter notebook;джупитер;джупитерлаб",tool,"data;analytics;ml"
sql,"sql;postgresql;sqlite;mysql;postgres",database,"backend;data"
sqlalchemy,"sqlalchemy;sql alchemy;скл алхеми",library,"backend;data"
requests,"requests;http requests;реквестс",library,"backend;automation;api"
ollama,"ollama;оллама",platform,"llm;automation"
mlflow,"mlflow;эмэлфлоу;млфлоу",platform,"ml;data;deployment"
pytest,"pytest;пайтест",tool,"backend;data;ml"
docker,"docker;докер",devops,"deployment;backend"
github_actions,"github actions;github action;gha;гитхаб экшенс",devops,"deployment;automation;backend"
data_science,"data science;data scientist;дата саенс;дата сайнс",field,"data;analytics;ml"
machine_learning,"ml;machine learning;машинное обучение;машинка",field,"ml;data"
nlp,"nlp;natural language processing;обработка текста",field,"ml;llm;data"
llm_engineering,"llm;large language model;llm engineering;локальная llm",field,"llm;ml;automation"
education_analytics,"student analytics;education analytics;аналитика студентов;опросы студентов",domain,"analytics;data;ml"
health_analytics,"wellbeing analytics;mental health analytics;анализ самочувствия;health analytics",domain,"analytics;data;ml"
